sec,nanosec,odom_x,odom_y,lidar_x,lidar_y,kf_x,kf_y,opti_tb2_x,opti_tb2_y,opti_tb1_x,opti_tb1_y
1772619200,848854919,0.4008458890419079,-0.05828181757732857,0.444881835458567,-0.3665320131045195,0.46468391310107215,-0.1819403422862128,0.4304813742637634,-0.0334165096282959,-0.0765238031744957,-0.08776362240314484
1772619200,898687173,0.4008458890419079,-0.05828181757732857,0.444881835458567,-0.3665320131045195,0.46468391310107215,-0.1819403422862128,0.43049004673957825,-0.03339667618274689,-0.07691881060600281,-0.088201142847538
1772619200,948863508,0.4008458890419079,-0.05828181757732857,0.45697705725469306,-0.3842031797268043,0.4645907000402729,-0.18438667559509775,0.43060681223869324,-0.03333553671836853,-0.07655948400497437,-0.08781634271144867
1772619200,998836775,0.4008458890419079,-0.05828181757732857,0.45697705725469306,-0.3842031797268043,0.4645907000402729,-0.18438667559509775,0.43046697974205017,-0.03340534865856171,-0.07655497640371323,-0.08783524483442307
1772619201,48847728,0.4008458890419079,-0.05828181757732857,0.45697705725469306,-0.3842031797268043,0.4645907000402729,-0.18438667559509775,0.4304572343826294,-0.033421218395233154,-0.07657186686992645,-0.08782285451889038
1772619201,98802940,0.4008458890419079,-0.05828181757732857,0.45697705725469306,-0.3842031797268043,0.4645907000402729,-0.18438667559509775,0.43048760294914246,-0.033411115407943726,-0.07692506909370422,-0.08826631307601929
1772619201,148844068,0.4008458890419079,-0.05828181757732857,0.45496201515846113,-0.38225140146880426,0.46447488255918723,-0.1867666677152774,0.43060046434402466,-0.03335382416844368,-0.07641593366861343,-0.08775635808706284
1772619201,198696018,0.4008458890419079,-0.05828181757732857,0.45496201515846113,-0.38225140146880426,0.46447488255918723,-0.1867666677152774,0.4304676353931427,-0.03340219333767891,-0.07933437824249268,-0.09019989520311356
1772619201,248804294,0.4008458890419079,-0.05828181757732857,0.45496201515846113,-0.38225140146880426,0.46447488255918723,-0.1867666677152774,0.4304473400115967,-0.033408693969249725,-0.07596330344676971,-0.0872437059879303
1772619201,298925119,0.4008458890419079,-0.05828181757732857,0.45496201515846113,-0.38225140146880426,0.46447488255918723,-0.1867666677152774,0.4304788410663605,-0.033409520983695984,-0.07607796043157578,-0.08746439218521118
1772619201,348863815,0.4008458890419079,-0.05828181757732857,0.45496201515846113,-0.38225140146880426,0.46447488255918723,-0.1867666677152774,0.43059855699539185,-0.03337131068110466,-0.07535576075315475,-0.08665836602449417
1772619201,398923025,0.4008458890419079,-0.05828181757732857,0.44797331423427844,-0.3648537693043323,0.46427746569697625,-0.1888972165275915,0.43048331141471863,-0.03341139107942581,-0.07805094122886658,-0.08954013884067535
1772619201,448832129,0.4008458890419079,-0.05828181757732857,0.44797331423427844,-0.3648537693043323,0.46427746569697625,-0.1888972165275915,0.4304456114768982,-0.03340843692421913,-0.07422611117362976,-0.08529158681631088
